Code,gdp_Value,date
ZAF,-1.727377087,01-10-2021
ZAF,1.163438831,01-01-2021
RUS,-0.038077851,01-04-2019
RUS,2.261719554,01-07-2019
RUS,-0.978355601,01-10-2019
RUS,-0.452487734,01-01-2019
RUS,-0.196323318,01-04-2020
RUS,-4.485002074,01-07-2020
RUS,2.7780786,01-10-2020
RUS,0.739743224,01-01-2020
RUS,0.680789326,01-04-2021
RUS,3.190933741,01-07-2021
RUS,-0.794505895,01-10-2021
PRT,0.881510282,01-04-2019
PRT,0.56465027,01-07-2019
PRT,0.46238778,01-10-2019
PRT,0.824612023,01-01-2019
PRT,-4.414526004,01-04-2020
PRT,-15.24969549,01-07-2020
PRT,14.67263506,01-10-2020
PRT,0.275105523,01-01-2020
PRT,-2.928316715,01-04-2021
PRT,4.369087133,01-07-2021
PRT,2.721618901,01-10-2021
PRT,1.713169241,01-01-2021
PRT,2.6,01-04-2022
ITA,0.20797604,01-04-2019
ITA,0.314799195,01-07-2019
ITA,-0.022237144,01-10-2019
ITA,-0.792386006,01-01-2019
ITA,-5.924416633,01-04-2020
ITA,-12.64858611,01-07-2020
ITA,16.10297039,01-10-2020
ITA,-1.571767851,01-01-2020
ITA,0.305207624,01-04-2021
ITA,2.65994705,01-07-2021
ITA,2.492781926,01-10-2021
ITA,0.670004369,01-01-2021
ITA,-0.164189413,01-04-2022
AUT,0.856515275,01-04-2019
AUT,-0.514093726,01-07-2019
AUT,0.233056624,01-10-2019
AUT,-0.265868572,01-01-2019
AUT,-2.49838986,01-04-2020
AUT,-11.42745802,01-07-2020
AUT,10.80579952,01-10-2020
AUT,-1.876945101,01-01-2020
AUT,-0.391694639,01-04-2021
AUT,4.070778935,01-07-2021
AUT,3.388102044,01-10-2021
AUT,-1.45036255,01-01-2021
AUT,2.540250896,01-04-2022
IRL,1.780756126,01-04-2019
IRL,2.261178118,01-07-2019
IRL,-0.184168053,01-10-2019
IRL,1.481295686,01-01-2019
IRL,2.829810888,01-04-2020
IRL,-3.037398121,01-07-2020
IRL,9.81931481,01-10-2020
IRL,-4.232614619,01-01-2020
IRL,9.734477049,01-04-2021
IRL,4.622562358,01-07-2021
IRL,1.239847098,01-10-2021
IRL,-5.362431683,01-01-2021
CHE,0.287854341,01-04-2019
CHE,0.398251371,01-07-2019
CHE,0.512095278,01-10-2019
CHE,0.482954974,01-01-2019
CHE,-1.547314607,01-04-2020
CHE,-6.149299705,01-07-2020
CHE,6.264850642,01-10-2020
CHE,-0.065441471,01-01-2020
CHE,-0.080763974,01-04-2021
CHE,1.829214036,01-07-2021
CHE,1.865713456,01-10-2021
CHE,0.285262675,01-01-2021
NZL,0.379578072,01-04-2019
NZL,0.570339235,01-07-2019
NZL,1.00059041,01-10-2019
NZL,0.398424761,01-01-2019
NZL,-1.509231594,01-04-2020
NZL,-10.2769135,01-07-2020
NZL,13.91441551,01-10-2020
NZL,-0.327250034,01-01-2020
NZL,1.304135361,01-04-2021
NZL,2.463143296,01-07-2021
NZL,-3.554404755,01-10-2021
NZL,3.005064372,01-01-2021
CHN,1.7,01-04-2019
CHN,1.2,01-07-2019
CHN,1.4,01-10-2019
CHN,1.2,01-01-2019
CHN,-10.3,01-04-2020
CHN,11.6,01-07-2020
CHN,3.4,01-10-2020
CHN,2.5,01-01-2020
CHN,0.5,01-04-2021
CHN,1.2,01-07-2021
CHN,0.7,01-10-2021
CHN,1.5,01-01-2021
CHN,1.3,01-04-2022
CHL,-0.037508448,01-04-2019
CHL,1.008364934,01-07-2019
CHL,0.162204028,01-10-2019
CHL,-3.927279446,01-01-2019
CHL,2.273695167,01-04-2020
CHL,-12.84692376,01-07-2020
CHL,5.255671677,01-10-2020
CHL,6.693044096,01-01-2020
CHL,3.742309518,01-04-2021
CHL,1.501879241,01-07-2021
CHL,4.331575217,01-10-2021
CHL,1.702786393,01-01-2021
CHL,-0.762510553,01-04-2022
SWE,0.529985505,01-04-2019
SWE,0.532896326,01-07-2019
SWE,0.177001469,01-10-2019
SWE,0.105454537,01-01-2019
SWE,-0.725528771,01-04-2020
SWE,-7.840666345,01-07-2020
SWE,6.90377613,01-10-2020
SWE,0.048423851,01-01-2020
SWE,1.568213016,01-04-2021
SWE,0.714032352,01-07-2021
SWE,1.734991149,01-10-2021
SWE,0.976606833,01-01-2021
SWE,-0.425856796,01-04-2022
FRA,0.665798334,01-04-2019
FRA,0.604099134,01-07-2019
FRA,0.011971808,01-10-2019
FRA,-0.400152537,01-01-2019
FRA,-5.647477753,01-04-2020
FRA,-13.44314559,01-07-2020
FRA,18.55537896,01-10-2020
FRA,-1.118046566,01-01-2020
FRA,0.156198162,01-04-2021
FRA,1.460529708,01-07-2021
FRA,3.017719839,01-10-2021
FRA,0.77978186,01-01-2021
FRA,-0.0472544,01-04-2022
GRC,0.682583221,01-04-2019
GRC,1.054627484,01-07-2019
GRC,-0.094569359,01-10-2019
GRC,-0.287310049,01-01-2019
GRC,-1.975613338,01-04-2020
GRC,-13.44723818,01-07-2020
GRC,5.362029979,01-10-2020
GRC,3.938052161,01-01-2020
GRC,4.070660413,01-04-2021
GRC,1.007619104,01-07-2021
GRC,1.984454179,01-10-2021
GRC,0.423738482,01-01-2021
OECDE,0.872999,01-04-2019
OECDE,0.456369,01-07-2019
OECDE,0.292999,01-10-2019
OECDE,0.147166,01-01-2019
OECDE,-2.70181,01-04-2020
OECDE,-12.098933,01-07-2020
OECDE,12.704978,01-10-2020
OECDE,0.138867,01-01-2020
OECDE,0.107272,01-04-2021
OECDE,2.474952,01-07-2021
OECDE,2.093507,01-10-2021
OECDE,0.732844,01-01-2021
G-7,0.608856,01-04-2019
G-7,0.525127,01-07-2019
G-7,0.433622,01-10-2019
G-7,-0.202457,01-01-2019
G-7,-1.882507,01-04-2020
G-7,-10.380035,01-07-2020
G-7,9.462539,01-10-2020
G-7,0.889392,01-01-2020
G-7,0.54259,01-04-2021
G-7,1.787459,01-07-2021
G-7,0.892532,01-10-2021
G-7,1.201572,01-01-2021
G-7,-0.098723,01-04-2022
G-20,0.84359,01-04-2019
G-20,0.83291,01-07-2019
G-20,0.63802,01-10-2019
G-20,0.24298,01-01-2019
G-20,-3.265,01-04-2020
G-20,-6.77074,01-07-2020
G-20,8.60709,01-10-2020
G-20,1.66819,01-01-2020
G-20,0.73873,01-04-2021
G-20,0.51299,01-07-2021
G-20,1.89237,01-10-2021
G-20,1.3,01-01-2021
COL,0.851181203,01-04-2019
COL,1.383684555,01-07-2019
COL,0.855744306,01-10-2019
COL,-0.143023338,01-01-2019
COL,-1.36350836,01-04-2020
COL,-15.97281839,01-07-2020
COL,10.34560689,01-10-2020
COL,5.398729147,01-01-2020
COL,3.503680706,01-04-2021
COL,-1.796005171,01-07-2021
COL,6.362818231,01-10-2021
COL,2.522532219,01-01-2021
COL,0.995844392,01-04-2022
EA19,0.738585,01-04-2019
EA19,0.206326,01-07-2019
EA19,0.240767,01-10-2019
EA19,-0.063119,01-01-2019
EA19,-3.524265,01-04-2020
EA19,-11.627494,01-07-2020
EA19,12.644217,01-10-2020
EA19,-0.319609,01-01-2020
EA19,-0.097919,01-04-2021
EA19,2.205448,01-07-2021
EA19,2.247616,01-10-2021
EA19,0.290929,01-01-2021
EA19,0.268023,01-04-2022
LTU,1.402614706,01-04-2019
LTU,1.180717847,01-07-2019
LTU,0.39781136,01-10-2019
LTU,1.28934673,01-01-2019
LTU,0.731637358,01-04-2020
LTU,-5.863753898,01-07-2020
LTU,3.881609919,01-10-2020
LTU,1.555403556,01-01-2020
LTU,1.707463939,01-04-2021
LTU,1.201907014,01-07-2021
LTU,0.720526528,01-10-2021
LTU,1.253801518,01-01-2021
LTU,0.895662508,01-04-2022
SAU,-0.297746087,01-04-2019
SAU,-0.701172475,01-07-2019
SAU,-0.185022973,01-10-2019
SAU,0.308913382,01-01-2019
SAU,-1.332821346,01-04-2020
SAU,-4.848610902,01-07-2020
SAU,0.749804648,01-10-2020
SAU,2.077436621,01-01-2020
SAU,-1.126194097,01-04-2021
SAU,0.220955997,01-07-2021
SAU,5.680977147,01-10-2021
SAU,1.578321209,01-01-2021
BGR,3.790156358,01-04-2019
BGR,-0.263303288,01-07-2019
BGR,-0.64248549,01-10-2019
BGR,0.270361487,01-01-2019
BGR,-0.206196882,01-04-2020
BGR,-7.324061841,01-07-2020
BGR,3.094999657,01-10-2020
BGR,1.406824741,01-01-2020
BGR,1.786830185,01-04-2021
BGR,0.915052536,01-07-2021
BGR,0.837532665,01-10-2021
BGR,1.044856902,01-01-2021
ROU,1.437460424,01-04-2019
ROU,1.704679497,01-07-2019
ROU,-0.03924881,01-10-2019
ROU,1.283028891,01-01-2019
ROU,-0.403374234,01-04-2020
ROU,-10.58424476,01-07-2020
ROU,4.840929782,01-10-2020
ROU,5.5036265,01-01-2020
ROU,1.052546112,01-04-2021
ROU,3.258457077,01-07-2021
ROU,-2.893056986,01-10-2021
ROU,1.018109387,01-01-2021
ROU,5.187609558,01-04-2022
EU27_2020,0.811306,01-04-2019
EU27_2020,0.272754,01-07-2019
EU27_2020,0.287672,01-10-2019
EU27_2020,-0.01394,01-01-2019
EU27_2020,-3.097916,01-04-2020
EU27_2020,-11.215094,01-07-2020
EU27_2020,11.745185,01-10-2020
EU27_2020,-0.167955,01-01-2020
EU27_2020,0.095464,01-04-2021
EU27_2020,2.107089,01-07-2021
EU27_2020,2.152449,01-10-2021
EU27_2020,0.456739,01-01-2021
EU27_2020,0.43855,01-04-2022
CRI,1.493487255,01-04-2019
CRI,1.208692241,01-07-2019
CRI,0.359166654,01-10-2019
CRI,0.67214128,01-01-2019
CRI,-0.609159039,01-04-2020
CRI,-8.132380924,01-07-2020
CRI,1.398586087,01-10-2020
CRI,4.310902423,01-01-2020
CRI,2.745223565,01-04-2021
CRI,1.462625103,01-07-2021
CRI,3.560491229,01-10-2021
CRI,1.026251868,01-01-2021
CRI,-0.458981398,01-04-2022
